brand,auto_discovered_brand,source_site,source_title,source_price,source_url,mercari_sold_median,mercari_sold_avg,mercari_sample_count,estimated_sale_price,platform_fee,estimated_shipping,gross_profit,profit_rate,target_category,color_detected,popularity_color_hint,matched_keywords,note
PORTER,False,メルカリ,PORTER ブラック ポーチ,8500,https://jp.mercari.com/item/m29417667513,6000,8756,11,25900,2590,520,14290,1.6812,小物,unknown,black,"porter,ブラック",類似売り切れ1件ベースで推定
MARNI,False,メルカリ,MARNI 二つ折り財布 グリーン/ホワイト,6600,https://jp.mercari.com/item/m85655005021,10250,12075,8,21000,2100,210,12090,1.8318,財布,unknown,unknown,"marni,二つ折り財布",類似売り切れ1件ベースで推定
