candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hint_top3,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_band_top3,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
hold,SOMES,Yahooショッピング,SOMES SADDLE セカンドバッグ/レザー/CML,5060,17500,3.4585,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2318973267541.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,10400,13700,27,5,25900,2590,750,バッグ,True,,,True,True,False,True,,unknown,,,unknown,unknown,,,black,black,green,brown,"black,green,brown",black,green,brown,"black,green,brown",False,unknown,"saddle,somes,セカンドバッグ,レザー",False,7,0.2593,4,0.1481,3,0.1111,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,green,brown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,SOMES,Yahooショッピング,SOMES SADDLE 千歳空港店限定/バッグ/レザー/BLU/無地/SF2102/2WAYポシェット,10560,12000,1.1364,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2318822995199.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,10400,13700,27,5,25900,2590,750,バッグ,True,,,True,True,False,True,,unknown,,,unknown,unknown,,,green,green,brown,black,"green,brown,black",green,brown,black,"green,brown,black",False,unknown,"saddle,somes,レザー,バッグ",False,7,0.2593,4,0.1481,3,0.1111,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=green,brown,black / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,SOMES,Yahooショッピング,SOMES SADDLE ソメスサドル ショルダーバッグ ブラウン レザー レディース 斜め掛け bag 鞄,11495,11065,0.9626,False,https://store.shopping.yahoo.co.jp/tifana-garage/1-240001142924.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,10400,13700,27,5,25900,2590,750,バッグ,True,,,True,True,False,True,ブラウン,brown,,brown,brown,brown,,brown,green,green,brown,unknown,"green,brown,unknown",green,brown,unknown,"green,brown,unknown",True,near,"saddle,somes,ショルダーバッグ,ソメスサドル,レザー,brown,ブラウン,鞄",False,7,0.2593,4,0.1481,3,0.1111,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=green,brown,unknown / 商品配色=brown / 売れ筋上位色(top2/3)と一致"
