candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
hold,IACUCCI,ベクトルパーク,イアクッチ IACUCCI ハンドバッグ ショルダーバッグ 2WAY レザー 紫 パープル /YM,2800,21632,7.7257,False,https://vector-park.jp/item/081-102509290266/,available,22200,24926,12,5,27980,2798,750,バッグ,True,,Sorbetto,True,True,False,False,True,紫/パープル,purple,,purple,purple,purple,,purple,unknown,unknown,unknown,"unknown,unknown,unknown",unknown,unknown,"unknown,unknown,unknown",False,flashy,"iacucci,2way,イアクッチ,レザー,ハンドバッグ,ショルダーバッグ",False,1,0.0833,1,0.0833,1,0.0833,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Sorbetto / 売り切れ候補モデル=Ghibli / 売れ筋上位色帯=unknown,unknown,unknown / 商品配色=purple / 人気色不一致で派手色主体"
hold,IACUCCI,Yahooショッピング,IACUCCI ベラール VELAR 2way ショルダーバッグ ブラウン レディース イアクッチ 2-0212G 190150,10670,13762,1.2898,False,https://store.shopping.yahoo.co.jp/kiitti/190150.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,22200,24926,12,5,27980,2798,750,バッグ,True,,Sorbetto,True,False,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,beige,beige,unknown,"beige,unknown,unknown",white-beige,unknown,"white-beige,unknown,unknown",False,neutral,"iacucci,イアクッチ,ショルダーバッグ,ベラール,2way",False,1,0.0833,1,0.0833,1,0.0833,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Sorbetto / 売り切れ候補モデル=Ghibli / 売れ筋上位色帯=white-beige,unknown,unknown / 商品配色=brown / 人気色不一致だが落ち着いた定番配色"
