candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_same_color_band_count,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word,vision_confirmed,vision_near,vision_rejected,vision_confidence,vision_summary,vision_manual
hold,MOTHERHOUSE,Yahooショッピング,マザーハウス MOTHERHOUSE ウォッシュド ジュート トートバッグ ハンドバッグ グレージュ /SR レディース,2400,16650,6.9375,False,https://store.shopping.yahoo.co.jp/vectorpremium/170-402510060244.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,16250,15706,18,3,22000,2200,750,バッグ,False,,,True,False,False,False,True,グレージュ,beige,,beige,beige,white-beige,,white-beige,brown,brown,unknown,"brown,unknown,unknown",brown,unknown,"brown,unknown,unknown",False,neutral,0,"トートバッグ,マザーハウス",True,fast,3,0.1667,1,0.0556,1,0.0556,"類似売り切れ3件ベースで推定 / 要目視確認(matched_sold_count=3) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色",,,,,,,SKIP: rank=hold target=True has_images=True,
hold,MOTHERHOUSE,ベクトルパーク,マザーハウス MOTHERHOUSE ウォッシュド ジュート トートバッグ ハンドバッグ グレージュ /SR,2400,16650,6.9375,False,https://vector-park.jp/item/170-402510060244/,available,16250,15706,18,3,22000,2200,750,バッグ,False,,,True,False,False,False,True,グレージュ,beige,,beige,beige,white-beige,,white-beige,brown,brown,unknown,"brown,unknown,unknown",brown,unknown,"brown,unknown,unknown",False,neutral,0,"トートバッグ,マザーハウス",True,fast,3,0.1667,1,0.0556,1,0.0556,"類似売り切れ3件ベースで推定 / 要目視確認(matched_sold_count=3) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色",,,,,,,SKIP: rank=hold target=True has_images=True,
