candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_same_color_band_count,matched_keywords,matched_sold_titles,matched_sold_urls,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word,vision_confirmed,vision_near,vision_rejected,vision_confidence,vision_summary,vision_manual
hold,ペッレモルビダ,ベクトルパーク,ペッレモルビダ PELLE MORBIDA ビジネスバッグ 書類カバン ブリーフケース レザー ロゴ 黒 ブラック ■GY18 /MQ,7800,20340,2.6077,False,https://vector-park.jp/item/165-502512080036/,available,29000,24563,9,4,32100,3210,750,バッグ,True,,,True,False,False,False,True,黒/ブラック,black,,black,black,black,,black,brown,brown,unknown,"brown,unknown,unknown",brown,unknown,"brown,unknown,unknown",False,neutral,0,"morbida,pelle,ビジネスバッグ,ブリーフケース",PELLE MORBIDA ペッレモルビダ トートバッグ キャメル | Ko様専用 PELLE MORBIDA ペッレモルビダ ワンハンドルバッグ | メーカー正規品 ペッレモルビダ テーラマリーナ トートバッグ PELLE MORBIDA PMO-TE011 | ペッレモルビダ キャピターノ ビジネスバッグ ブリーフケース セカンドバッグ,https://jp.mercari.com/shops/product/2JNfyzkTYgMrMoAPkRbkin | https://jp.mercari.com/item/m79998690451 | https://jp.mercari.com/shops/product/7c7eKusj7CLacjcE2Er6YM | https://jp.mercari.com/item/m12646283635,True,medium,1,0.1111,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 要目視確認(matched_sold_count=4) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=black / 人気色不一致だが落ち着いた定番配色",,,,,,,SKIP: rank=hold target=True has_images=True,
hold,ペッレモルビダ,ベクトルパーク,ペッレモルビダ PELLE MORBIDA ショルダーバッグ クラッチバッグ 2WAY レザー ブラウン /TK,11800,14180,1.2017,False,https://vector-park.jp/item/142-102510310085/,available,29000,24563,9,3,29700,2970,750,バッグ,True,,,True,False,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,unknown,"brown,unknown,unknown",brown,unknown,"brown,unknown,unknown",True,strong,1,"morbida,pelle,brown",PELLE MORBIDA ペッレモルビダ トートバッグ キャメル | Ko様専用 PELLE MORBIDA ペッレモルビダ ワンハンドルバッグ | メーカー正規品 ペッレモルビダ テーラマリーナ トートバッグ PELLE MORBIDA PMO-TE011,https://jp.mercari.com/shops/product/2JNfyzkTYgMrMoAPkRbkin | https://jp.mercari.com/item/m79998690451 | https://jp.mercari.com/shops/product/7c7eKusj7CLacjcE2Er6YM,True,medium,1,0.1111,1,0.1111,1,0.1111,"類似売り切れ3件ベースで推定 / 要目視確認(matched_sold_count=3) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=brown / 売れ筋1位色と一致",,,,,,,SKIP: rank=hold target=True has_images=True,
