candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_same_color_band_count,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word,vision_confirmed,vision_near,vision_rejected,vision_confidence,vision_summary,vision_manual
hold,ペッレモルビダ,ベクトルパーク,ペッレモルビダ PELLE MORBIDA ビジネスバッグ 書類カバン ブリーフケース レザー ロゴ 黒 ブラック ■GY18 /MQ,7800,18180,2.3308,False,https://vector-park.jp/item/165-502512080036/,available,29000,26674,9,5,29700,2970,750,バッグ,True,,,True,False,False,False,True,黒/ブラック,black,,black,black,black,,black,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",True,near,1,"morbida,pelle,black",False,medium,2,0.2222,1,0.1111,1,0.1111,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=black / 売れ筋2位色と一致",,,,,,,SKIP: rank=hold target=False has_images=True,
honmei,ペッレモルビダ,ベクトルパーク,ペッレモルビダ PELLE MORBIDA ショルダーバッグ クラッチバッグ 2WAY レザー ブラウン /TK,11800,14180,1.2017,False,https://vector-park.jp/item/142-102510310085/,available,29000,26674,9,5,29700,2970,750,バッグ,True,,,True,False,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",True,strong,1,"morbida,pelle,brown",False,medium,2,0.2222,1,0.1111,1,0.1111,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=brown / 売れ筋1位色と一致",,,,,,,SKIP: rank=honmei target=False has_images=True,
hold,ペッレモルビダ,Rehello by BOOKOFF,PELLE MORBIDA トートバッグ メンズ ペッレモルビダ,13200,12780,0.9682,False,https://rehello.jp/products/rc_itimufcqcglc_eazc?variant=44033787527265,available,29000,26674,9,5,29700,2970,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",False,unknown,0,"morbida,pelle,トートバッグ",False,medium,2,0.2222,1,0.1111,1,0.1111,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,,,,,,SKIP: rank=hold target=False has_images=False,
