candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_same_color_band_count,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word,vision_confirmed,vision_near,vision_rejected,vision_confidence,vision_summary,vision_manual
hold,SOMES,楽天市場,中古 SOMES(ソメス) ショルダーバッグ 黒 レザー,6601,16008,2.4251,False,https://item.rakuten.co.jp/brandear-store/38329292/?variantId=38329292&scid=seo-carousel-search,available,9980,13923,32,5,25954,2595,750,バッグ,False,,,True,True,False,False,True,黒,black,,black,black,black,,black,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",True,near,1,"ソメス,レザー,black,黒,ショルダーバッグ",False,medium,10,0.3125,5,0.1562,3,0.0938,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=black / 売れ筋2位色と一致",,,,,,,SKIP: rank=hold target=True has_images=True,
hold,SOMES,Yahooショッピング,ソメスサドル ショルダーバッグ 肩掛け レディース SOMES SADDLE 中古,9680,12929,1.3356,False,https://store.shopping.yahoo.co.jp/hugall/rc-it9fof8h5s4g-jkbb.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,9980,13923,32,5,25954,2595,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,unknown,"brown,unknown,unknown",brown,unknown,"brown,unknown,unknown",False,unknown,0,"saddle,ソメスサドル,レディース,肩掛け,ショルダーバッグ",False,medium,10,0.3125,5,0.1562,3,0.0938,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,,,,,,SKIP: rank=hold target=True has_images=True,
hold,SOMES,Rehello by BOOKOFF,SOMES SADDLE ショルダーバッグ 肩掛け レディース ソメスサドル,9680,12929,1.3356,False,https://rehello.jp/products/rc_it9fof8h5s4g_vt0n?variant=43776822509665,available,9980,13923,32,5,25954,2595,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,unknown,"brown,unknown,unknown",brown,unknown,"brown,unknown,unknown",False,unknown,0,"saddle,ソメスサドル,レディース,肩掛け,ショルダーバッグ",False,medium,10,0.3125,5,0.1562,3,0.0938,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,,,,,,SKIP: rank=hold target=True has_images=False,
hold,SOMES,楽天市場,新着 中古 SOMES(ソメス) ショルダーバッグ ダークブラウン レザー,10468,12425,1.187,False,https://item.rakuten.co.jp/brandear-store/39359391/?variantId=39359391&scid=seo-carousel-search,available,9980,13923,32,5,26270,2627,750,バッグ,False,,,True,True,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,unknown,"brown,unknown,unknown",brown,unknown,"brown,unknown,unknown",True,strong,4,"ショルダーバッグ,レザー,brown,ダークブラウン",False,medium,10,0.3125,5,0.1562,3,0.0938,"Vision品質不足(confirmed=1/rejected=4) / 類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=brown / 売れ筋1位色と一致",,,1.0,0.0,4.0,0.95,SOMES特徴的なサドルバッグデザインが完全一致,False
hold,SOMES,Yahooショッピング,SOMES SADDLE ハンドバッグ/--/BLK,5060,11767,2.3255,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2333748227599.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,9980,13923,32,5,19530,1953,750,バッグ,True,,,True,False,False,False,True,blk,black,,black,black,black,,black,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",True,near,1,"saddle,black,ハンドバッグ",False,medium,10,0.3125,5,0.1562,3,0.0938,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=black / 売れ筋2位色と一致",,,,,,,SKIP: rank=hold target=True has_images=True,
hold,SOMES,Yahooショッピング,SOMES SADDLE ショルダーバッグ/--/BRD,11660,10949,0.939,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2342549645419.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,9980,13923,32,5,25954,2595,750,バッグ,True,,,True,False,False,False,True,rd,red,,red,red,red-pink,,red-pink,brown,brown,red,"brown,red,unknown",brown,red-pink,"brown,red-pink,unknown",True,near,1,"saddle,ショルダーバッグ,red",False,medium,10,0.3125,5,0.1562,3,0.0938,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,red-pink,unknown / 商品配色=red-pink / 売れ筋2位色と一致",,,,,,,SKIP: rank=hold target=True has_images=True,
