brand,auto_discovered_brand,source_site,source_title,source_price,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,gross_profit,profit_rate,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,color_detected,raw_color_text,popularity_color_hint,color_match,matched_keywords,review_required,note
MAISON CANAU,False,楽天市場,中古 MAISON CANAUROUND BOSTON S ハンドバッグ ブラウン,40260,https://item.rakuten.co.jp/kind-u/8077000855291/?variantId=8077000855291&scid=seo-carousel-search,available,67065,65000,8,5,66860,6686,750,19164,0.476,バッグ,True,,,True,False,False,True,brown,ブラウン,black,True,"boston,maison,ハンドバッグ,brown,ブラウン,s",False,類似売り切れ5件ベースで推定
MAISON CANAU,False,Yahooショッピング,MAISON CANAU ROUND BOSTON S ハンドバッグ ブラウン (EC),40260,https://store.shopping.yahoo.co.jp/kindal/8077000855291.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,67065,65000,8,5,66860,6686,750,19164,0.476,バッグ,True,,,True,False,False,True,brown,ブラウン,black,True,"boston,canau,maison,ハンドバッグ,brown,ブラウン,s",False,類似売り切れ5件ベースで推定
