candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word
hold,IACUCCI,ベクトルパーク,イアクッチ IACUCCI ハンドバッグ ショルダーバッグ 2WAY レザー 紫 パープル /YM,2800,21102,7.5364,False,https://vector-park.jp/item/081-102509290266/,available,19300,20606,17,5,27391,2739,750,バッグ,False,,Sorbetto,True,True,False,False,True,紫/パープル,purple,,purple,purple,purple,,purple,blue,blue,beige,"blue,beige,brown",blue-navy,white-beige,"blue-navy,white-beige,brown",False,flashy,"2way,イアクッチ,レザー,ハンドバッグ,ショルダーバッグ",False,fast,4,0.2353,2,0.1176,2,0.1176,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Sorbetto / 売り切れ候補モデル=Velar / 売れ筋上位色帯=blue-navy,white-beige,brown / 商品配色=purple / 人気色不一致で派手色主体",,
hold,IACUCCI,Yahooショッピング,イアクッチ IACUCCI ハンドバッグ ショルダー 2WAY シボ革 レザー ロゴプレート 緑 グリーン 紫 パープル /XZ ■GY18 レディース,10800,13102,1.2131,False,https://store.shopping.yahoo.co.jp/vectorpremium/165-502508180001.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,19300,20606,17,5,27391,2739,750,バッグ,True,,Sorbetto,True,True,False,False,True,緑/グリーン/紫/パープル,green,purple,"green,purple",green/purple,green,purple,"green,purple",brown,brown,black,"brown,black,blue",brown,black,"brown,black,blue-navy",False,flashy,"gy18,2way,イアクッチ,レザー,ショルダー,ハンドバッグ,レディース",False,fast,4,0.2353,2,0.1176,2,0.1176,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Velar / 売り切れ候補モデル=Sorbetto / 売れ筋上位色帯=brown,black,blue-navy / 商品配色=green,purple / 人気色不一致で派手色主体",,
