candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
hold,PRADA,Rehello by BOOKOFF,訳あり PRADA ハンドバッグ ロゴ レディース プラダ,4400,28357,6.4448,False,https://rehello.jp/products/rc_it6rousi2372_g73t?_pos=12&_sid=f6ef24570&_ss=r,available,27500,27857,14,5,37230,3723,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",False,unknown,"prada,プラダ,レディース",False,fast,7,0.5,1,0.0714,1,0.0714,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,LOEWE,Rehello by BOOKOFF,LOEWE ショルダーバッグ 肩掛け アナグラム レディース ロエベ,19800,23010,1.1621,False,https://rehello.jp/products/rc_itsg8vo9sals_ibvh?_pos=17&_sid=f5293c24a&_ss=r,available,38200,38453,12,5,48400,4840,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",False,unknown,"loewe,ショルダーバッグ,レディース,ロエベ",False,fast,4,0.3333,3,0.25,2,0.1667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,LOEWE,Yahooショッピング,LOEWE ハンドバッグ/レザー/GRN,22660,20150,0.8892,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2341016603013.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,38200,38453,12,5,48400,4840,750,バッグ,True,,,False,True,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,"brown,black,beige",brown,black,"brown,black,white-beige",False,unknown,"loewe,レザー",False,fast,4,0.3333,3,0.25,2,0.1667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,white-beige / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
honmei,PRADA,Yahooショッピング,PRADA プラダ テスート 三角ロゴプレート ブラック 黒 シルバー金具 ナイロン トートバッグ ショルダーバッグ レディース 504773,14209,18548,1.3054,False,https://store.shopping.yahoo.co.jp/loopinc2019ys/504773.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,27500,27857,14,5,37230,3723,750,バッグ,True,,,True,True,False,False,True,ブラック/黒/シルバー/金,black,metallic,"black,metallic",black/metallic,black,metallic,"black,metallic",black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",True,strong,"prada,トートバッグ,プラダ,レディース,ナイロン,black,ブラック,ショルダーバッグ",False,fast,7,0.5,1,0.0714,1,0.0714,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=black,metallic / 売れ筋1位色と一致"
hold,PRADA,Rehello by BOOKOFF,PRADA クラッチバッグ レディース プラダ,15180,17577,1.1579,False,https://rehello.jp/products/rc_ithwtw5nrdc4_iyr0?_pos=6&_sid=f6ef24570&_ss=r,available,27500,27857,14,5,37230,3723,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",False,unknown,"prada,プラダ,レディース",False,fast,7,0.5,1,0.0714,1,0.0714,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,PRADA,Rehello by BOOKOFF,PRADA トートバッグ レディース プラダ,15400,17357,1.1271,False,https://rehello.jp/products/rc_itagvzo3dj9c_6fvp?_pos=2&_sid=f6ef24570&_ss=r,available,27500,27857,14,5,37230,3723,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",False,unknown,"prada,トートバッグ,プラダ,レディース",False,fast,7,0.5,1,0.0714,1,0.0714,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
honmei,LOEWE,Yahooショッピング,ロエベ LOEWE ヴィンテージ ショルダーバッグ レザー アナグラム 型押し 茶色 ブラウン /XZ ■GY19 レディース,26800,16010,0.5974,False,https://store.shopping.yahoo.co.jp/vectorpremium/165-402602170226.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,38200,38453,12,5,48400,4840,750,バッグ,True,,,True,True,False,False,True,茶/ブラウン,brown,,brown,brown,brown,,brown,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",True,strong,"loewe,ショルダーバッグ,レディース,ロエベ,レザー,brown,ブラウン",False,fast,4,0.3333,3,0.25,2,0.1667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=brown / 売れ筋1位色と一致"
hold,LOEWE,Rehello by BOOKOFF,訳あり LOEWE ハンドバッグ ミニ ナッパアイレ レディース ロエベ,29700,13110,0.4414,False,https://rehello.jp/products/rc_itowi4nmhle0_vnfi?_pos=20&_sid=f5293c24a&_ss=r,available,38200,38453,12,5,48400,4840,750,バッグ,True,,,True,False,True,True,True,,unknown,,,unknown,unknown,,,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",False,unknown,"loewe,レディース,ロエベ,ミニ",False,fast,4,0.3333,3,0.25,2,0.1667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
honmei,PRADA,Yahooショッピング,プラダ PRADA トライアングル ロゴ ナイロン ショルダー バッグ V405 黒 ブラック ブランド古着ベクトル 中古 AA ●▲250519 メンズ レデ,22000,10757,0.489,False,https://store.shopping.yahoo.co.jp/vectorpremium/034-902505060026.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,27500,27857,14,5,37230,3723,750,バッグ,True,,,True,True,False,False,True,黒/ブラック,black,,black,black,black,,black,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",True,strong,"prada,プラダ,ナイロン,black,ブラック,黒",False,fast,7,0.5,1,0.0714,1,0.0714,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=black / 売れ筋1位色と一致"
