candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_same_color_band_count,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word,vision_confirmed,vision_near,vision_rejected,vision_confidence,vision_summary,vision_manual
hold,A VACATION,Rehello by BOOKOFF,ア ヴァケーション トートバッグ レディース A VACATION,8910,24513,2.7512,False,https://rehello.jp/products/rc_itt7smvutk4c_ztqx?variant=42065462296673,available,20700,23971,14,5,37970,3797,750,バッグ,False,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,"brown,black,blue",brown,black,"brown,black,blue-navy",False,unknown,0,"vacation,トートバッグ,ヴァケーション,a,ア,レディース",False,medium,4,0.2857,3,0.2143,2,0.1429,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,blue-navy / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,,,,,,SKIP: rank=hold target=True has_images=False,
hold,A VACATION,RAGTAG,A VACATION(アヴァケーション)クラッチバッグ 緑 サイズ:-/2200656989171,6000,18450,3.075,False,https://www.ragtag.jp/brand/A0896/item/A089626F0003,available,20700,23971,14,3,28000,2800,750,バッグ,False,,,True,False,False,False,True,緑,green,,green,green,green,,green,beige,beige,brown,"beige,brown,blue",white-beige,brown,"white-beige,brown,blue-navy",False,flashy,0,"vacation,アヴァケーション,a",True,medium,4,0.2857,3,0.2143,2,0.1429,"類似売り切れ3件ベースで推定 / 要目視確認(matched_sold_count=3) / 売れ筋上位色帯=white-beige,brown,blue-navy / 商品配色=green / 人気色不一致で派手色主体",,,,,,,SKIP: rank=hold target=True has_images=True,
hold,A VACATION,Yahooショッピング,「A VACATION」 トートバッグ - ブラウン レディース,19000,14423,0.7591,False,https://store.shopping.yahoo.co.jp/zozo/102823470.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,20700,23971,14,5,37970,3797,750,バッグ,False,,,True,False,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,black,"brown,black,blue",brown,black,"brown,black,blue-navy",True,strong,3,"vacation,トートバッグ,brown,a,ブラウン,レディース",False,medium,4,0.2857,3,0.2143,2,0.1429,"Vision確認SOLD0件 / 類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,blue-navy / 商品配色=brown / 売れ筋1位色と一致",,,0.0,0.0,0.0,0.0,,True
hold,A VACATION,ベクトルパーク,アヴァケーション A VACATION BEEHIVE ショルダーバッグ レザー べージュ /SR10,5100,13500,2.6471,False,https://vector-park.jp/item/170-402504140631/,available,20700,23971,14,4,21500,2150,750,バッグ,False,,,True,True,False,False,True,,unknown,,,unknown,unknown,,,beige,beige,brown,"beige,brown,blue",white-beige,brown,"white-beige,brown,blue-navy",False,unknown,0,"vacation,アヴァケーション,レザー,a",True,medium,4,0.2857,3,0.2143,2,0.1429,"類似売り切れ4件ベースで推定 / 要目視確認(matched_sold_count=4) / 売れ筋上位色帯=white-beige,brown,blue-navy / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,,,,,,SKIP: rank=hold target=True has_images=True,
hold,A VACATION,Yahooショッピング,A VACATION FAN/トートバッグ/ブルー,20460,12963,0.6336,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2333262036493.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,20700,23971,14,5,37970,3797,750,バッグ,False,,,True,False,False,False,True,ブルー,blue,,blue,blue,blue-navy,,blue-navy,brown,brown,blue,"brown,blue,black",brown,blue-navy,"brown,blue-navy,black",True,near,1,"vacation,トートバッグ,blue,a,ブルー",False,medium,4,0.2857,3,0.2143,2,0.1429,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,blue-navy,black / 商品配色=blue-navy / 売れ筋2位色と一致",,,,,,,SKIP: rank=hold target=True has_images=True,
