candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word
hold,ペッレモルビダ,Rehello by BOOKOFF,PELLE MORBIDA トートバッグ カモフラージュ柄 レディース ペッレモルビダ,7700,13150,1.7078,False,https://rehello.jp/products/rc_itoxx2py0z6o_vhdu?variant=43726047019105,available,19250,19833,6,4,24000,2400,750,バッグ,True,,,True,False,False,True,True,,unknown,,,unknown,unknown,,,black,black,unknown,"black,unknown,unknown",black,unknown,"black,unknown,unknown",False,unknown,"morbida,pelle,トートバッグ",True,medium,1,0.1667,0,0.0,0,0.0,"類似売り切れ4件ベースで推定 / 要目視確認(mercari_sample_count=6) / 要目視確認(matched_sold_count=4) / 売れ筋上位色帯=black,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,
hold,genten,Rehello by BOOKOFF,genten リュック ショルダーバッグ 2WAY 斜め掛け レディース ゲンテン,6050,11811,1.9522,False,https://rehello.jp/products/rc_ittujp1n96w6_aisf?variant=43751648264289,available,18000,17458,21,5,20790,2079,850,バッグ,False,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,unknown,"black,unknown,unknown",black,unknown,"black,unknown,unknown",False,unknown,"ゲンテン,ショルダーバッグ,レディース",False,medium,5,0.2381,5,0.2381,1,0.0476,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,
hold,POLENE,Yahooショッピング,POLENE ポレーヌ/ショルダーバッグ/レザー/ブラック/黒/149055,33660,11580,0.344,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2341363406336.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,41400,41121,17,5,51100,5110,750,バッグ,False,,Beri,True,True,False,False,True,ブラック/黒,black,,black,black,black,,black,black,black,metallic,"black,metallic,unknown",black,metallic,"black,metallic,unknown",True,strong,"ショルダーバッグ,ポレーヌ,レザー,black,ブラック,黒",False,medium,7,0.4118,6,0.3529,2,0.1176,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Numero Un / 売り切れ候補モデル=Beri / 売れ筋上位色帯=black,metallic,unknown / 商品配色=black / 売れ筋1位色と一致",,
hold,POLENE,Yahooショッピング,ポレーヌ POLENE Numero Un Mini チェーンショルダーバッグ ワンショルダー 斜め掛け レザー スエード ピンク /YO42 レディース,28300,11081,0.3916,False,https://store.shopping.yahoo.co.jp/vectorpremium/170-402512220706.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,41400,41121,17,5,44590,4459,750,バッグ,True,Numero Un,Numero Un,True,True,True,True,True,ピンク,pink,,pink,pink,red-pink,,red-pink,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",False,flashy,"numero-un,numero,ポレーヌ,斜め掛け,レザー,un,mini",False,medium,7,0.4118,6,0.3529,2,0.1176,"類似売り切れ5件ベースで推定 / モデル系統一致=Numero Un / 売り手候補モデル=Numero Un / 売れ筋上位色帯=brown,black,unknown / 商品配色=red-pink / 人気色不一致で派手色主体",,
hold,POLENE,ベクトルパーク,ポレーヌ POLENE Numero Un Mini チェーンショルダーバッグ ワンショルダー 斜め掛け レザー スエード ピンク /YO42,28300,11081,0.3916,False,https://vector-park.jp/item/170-402512220706/,available,41400,41121,17,5,44590,4459,750,バッグ,True,Numero Un,Numero Un,True,True,True,True,True,ピンク,pink,,pink,pink,red-pink,,red-pink,brown,brown,black,"brown,black,unknown",brown,black,"brown,black,unknown",False,flashy,"numero-un,numero,ポレーヌ,斜め掛け,レザー,un,mini",False,medium,7,0.4118,6,0.3529,2,0.1176,"類似売り切れ5件ベースで推定 / モデル系統一致=Numero Un / 売り手候補モデル=Numero Un / 売れ筋上位色帯=brown,black,unknown / 商品配色=red-pink / 人気色不一致で派手色主体",,
