candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hint_top3,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_band_top3,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,note
honmei,WANDLER,Yahooショッピング,WANDLER ショルダーバッグ/レザー/BRW/無地,20460,24600,1.2023,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2344900631208.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,50900,5090,750,バッグ,True,,,True,True,False,True,brw,brown,,brown,brown,brown,,brown,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",True,strong,"wandler,ショルダーバッグ,レザー,brown",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=brown / 売れ筋上位色と一致"
hold,WANDLER,Yahooショッピング,WANDLER ハンドバッグ/レザー/RED/無地,7260,23130,3.186,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2341825141157.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,34600,3460,750,バッグ,True,,,False,True,False,True,red,red,,red,red,red-pink,,red-pink,brown,brown,beige,unknown,"brown,beige,unknown",brown,white-beige,unknown,"brown,white-beige,unknown",False,flashy,"wandler,レザー,ハンドバッグ",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,white-beige,unknown / 商品配色=red-pink / 人気色不一致で派手色主体"
hold,MAISON CANAU,楽天市場,中古 MAISON CANAUROUND BOSTON S ハンドバッグ ブラウン,40260,19290,0.4791,False,https://item.rakuten.co.jp/kind-u/8077000855291/?variantId=8077000855291&scid=seo-carousel-search,available,67135,65772,6,3,67000,6700,750,バッグ,True,,,True,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,unknown,unknown,"brown,unknown,unknown",brown,unknown,unknown,"brown,unknown,unknown",True,strong,"boston,maison,s,brown,ハンドバッグ,ブラウン",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=6) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=brown / 売れ筋上位色と一致"
hold,MAISON CANAU,Yahooショッピング,MAISON CANAU ROUND BOSTON S ハンドバッグ ブラウン (EC),40260,19290,0.4791,False,https://store.shopping.yahoo.co.jp/kindal/8077000855291.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,67135,65772,6,3,67000,6700,750,バッグ,True,,,True,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,unknown,unknown,"brown,unknown,unknown",brown,unknown,unknown,"brown,unknown,unknown",True,strong,"boston,canau,maison,round,s,brown,ハンドバッグ,ブラウン",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=6) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=brown / 売れ筋上位色と一致"
hold,WANDLER,楽天市場,中古 良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース Luxs ブランド古着のリュクス,12550,15950,1.2709,False,https://item.rakuten.co.jp/luxs/343584001015/?variantId=343584001015&scid=seo-carousel-search,available,32400,34330,12,3,32500,3250,750,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,neutral,"wandler,ショルダーバッグ,レディース,ワンドラー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色"
hold,WANDLER,Yahooショッピング,良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース 古着 中古,12550,15950,1.2709,False,https://store.shopping.yahoo.co.jp/kigaeru/343584001015.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,32500,3250,750,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,neutral,"wandler,ショルダーバッグ,レディース,ワンドラー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色"
hold,WANDLER,Yahooショッピング,WANDLER ショルダーバッグ/レザー/GRN,33660,11400,0.3387,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2344950520040.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,50900,5090,750,バッグ,True,,,True,True,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,unknown,"wandler,ショルダーバッグ,レザー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,WANDLER,Yahooショッピング,WANDLER ショルダーバッグ/--/PNK/無地,33660,11400,0.3387,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2341825128462.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,50900,5090,750,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,unknown,"wandler,ショルダーバッグ",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
honmei,WANDLER,Yahooショッピング,値下げ WANDLER ショルダーバッグ ホワイト (神戸店),17160,11340,0.6608,False,https://store.shopping.yahoo.co.jp/kindal/8055000495761.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,32500,3250,750,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,white,white,brown,unknown,"white,brown,unknown",white-beige,brown,unknown,"white-beige,brown,unknown",True,strong,"wandler,ショルダーバッグ,white,ホワイト",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=white-beige,brown,unknown / 商品配色=white-beige / 売れ筋上位色と一致"
