candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
hold,MARNI,ベクトルパーク,ポーター PORTER PORTER × MARNI ポーター マルニ サコッシュ ショルダーバッグ BLACK ブラック,7600,16760,2.2053,False,https://vector-park.jp/item/004-202602080179/,available,14900,18238,18,5,27900,2790,750,バッグ,True,,Trunk,True,False,False,False,True,black/ブラック,black,,black,black,black,,black,beige,beige,green,"beige,green,white",white-beige,green,"white-beige,green,unknown",False,neutral,"marni,ショルダーバッグ,マルニ",False,4,0.2222,3,0.1667,3,0.1667,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Trunk / 売り切れ候補モデル=Museo / 売れ筋上位色帯=white-beige,green,unknown / 商品配色=black / 人気色不一致だが落ち着いた定番配色"
hold,MARNI,楽天市場,最大2万円OFFクーポン対象・3/20~3/22限定 MARNI KIDS マルニ キッズ ショルダーバッグ M01609 M00TK レディース ガールズ エコレザー クロスボディ ミニバッグ ロゴ 鞄 カラー2色 dc_kikaku,19800,10050,0.5076,False,https://item.rakuten.co.jp/auc-marks-run/370829055/?scid=seo-carousel-search,available,14900,18238,18,5,34000,3400,750,バッグ,True,,Trunk,True,True,False,True,True,,unknown,,,unknown,unknown,,,beige,beige,green,"beige,green,purple",white-beige,green,"white-beige,green,purple",False,unknown,"marni,ショルダーバッグ,マルニ,レザー",False,4,0.2222,3,0.1667,3,0.1667,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Trunk / 売り切れ候補モデル=Museo / 売れ筋上位色帯=white-beige,green,purple / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,MARNI,Yahooショッピング,MARNI KIDS マルニ キッズ ショルダーバッグ M01609 M00TK レディース ガールズ エコレザー クロスボディ ミニバッグ ロゴ 鞄 カラー2色,19800,10050,0.5076,False,https://store.shopping.yahoo.co.jp/s-musee/370829055.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,14900,18238,18,5,34000,3400,750,バッグ,True,,Trunk,True,True,False,True,True,,unknown,,,unknown,unknown,,,beige,beige,green,"beige,green,purple",white-beige,green,"white-beige,green,purple",False,unknown,"marni,ショルダーバッグ,マルニ,レザー",False,4,0.2222,3,0.1667,3,0.1667,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Trunk / 売り切れ候補モデル=Museo / 売れ筋上位色帯=white-beige,green,purple / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
