candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
hold,PRADA,Rehello by BOOKOFF,訳あり PRADA ハンドバッグ ロゴ レディース プラダ,4400,28357,6.4448,False,https://rehello.jp/products/rc_it6rousi2372_g73t?_pos=13&_sid=5be530079&_ss=r,available,23000,29347,17,5,37230,3723,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",False,unknown,"prada,プラダ,レディース",False,fast,8,0.4706,1,0.0588,1,0.0588,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,GUCCI,ベクトルパーク,グッチ GUCCI GUCCI グッチ ロゴバックル シェリーライン レザーベルト BROWN ブラウン 114990 0959 80 32,9500,19230,2.0242,False,https://vector-park.jp/item/004-202602180179/,available,32500,40833,3,3,32500,3250,520,バッグ,True,,,False,False,False,False,True,brown/bro/ブラウン,brown,,brown,brown,brown,,brown,blue,blue,red,"blue,red,unknown",blue-navy,red-pink,"blue-navy,red-pink,unknown",False,neutral,gucci,True,fast,1,0.3333,1,0.3333,0,0.0,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=3) / 売れ筋上位色帯=blue-navy,red-pink,unknown / 商品配色=brown / 人気色不一致だが落ち着いた定番配色"
honmei,PRADA,Yahooショッピング,PRADA プラダ テスート 三角ロゴプレート ブラック 黒 シルバー金具 ナイロン トートバッグ ショルダーバッグ レディース 504773,14209,18548,1.3054,False,https://store.shopping.yahoo.co.jp/loopinc2019ys/504773.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,23000,29347,17,5,37230,3723,750,バッグ,True,,,True,True,False,False,True,ブラック/黒/シルバー/金,black,metallic,"black,metallic",black/metallic,black,metallic,"black,metallic",black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",True,strong,"prada,トートバッグ,プラダ,レディース,ナイロン,black,ブラック,ショルダーバッグ",False,fast,8,0.4706,1,0.0588,1,0.0588,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=black,metallic / 売れ筋1位色と一致"
hold,PRADA,Rehello by BOOKOFF,PRADA クラッチバッグ レディース プラダ,15180,17577,1.1579,False,https://rehello.jp/products/rc_ithwtw5nrdc4_iyr0?_pos=6&_sid=5be530079&_ss=r,available,23000,29347,17,5,37230,3723,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",False,unknown,"prada,プラダ,レディース",False,fast,8,0.4706,1,0.0588,1,0.0588,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,PRADA,Rehello by BOOKOFF,PRADA トートバッグ レディース プラダ,15400,17357,1.1271,False,https://rehello.jp/products/rc_itagvzo3dj9c_6fvp?_pos=2&_sid=5be530079&_ss=r,available,23000,29347,17,5,37230,3723,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",False,unknown,"prada,トートバッグ,プラダ,レディース",False,fast,8,0.4706,1,0.0588,1,0.0588,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
honmei,PRADA,Yahooショッピング,プラダ PRADA トライアングル ロゴ ナイロン ショルダー バッグ V405 黒 ブラック ブランド古着ベクトル 中古 AA ●▲250519 メンズ レデ,22000,10757,0.489,False,https://store.shopping.yahoo.co.jp/vectorpremium/034-902505060026.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,23000,29347,17,5,37230,3723,750,バッグ,True,,,True,True,False,False,True,黒/ブラック,black,,black,black,black,,black,black,black,beige,"black,beige,metallic",black,white-beige,"black,white-beige,metallic",True,strong,"prada,プラダ,ナイロン,black,ブラック",False,fast,8,0.4706,1,0.0588,1,0.0588,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,white-beige,metallic / 商品配色=black / 売れ筋1位色と一致"
