candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_same_color_band_count,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word,vision_confirmed,vision_near,vision_rejected,vision_confidence,vision_summary,vision_manual
hold,A VACATION,Yahooショッピング,A VACATION TANK/トートバッグ/キャンバス/ブルー/ペーズリー/角スレ・汚れ有,17160,11790,0.6871,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2318854299555.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,18000,20037,11,3,33000,3300,750,バッグ,False,,,True,True,False,False,True,ブルー,blue,,blue,blue,blue-navy,,blue-navy,black,black,brown,"black,brown,white",black,brown,"black,brown,white-beige",False,flashy,0,"tank,vacation,トートバッグ,a,キャンバス",True,medium,3,0.2727,2,0.1818,1,0.0909,"要確認語(review) / 類似売り切れ3件ベースで推定 / 要目視確認(matched_sold_count=3) / 売れ筋上位色帯=black,brown,white-beige / 商品配色=blue-navy / 人気色不一致で派手色主体",,A VACATION TANK/トートバッグ/キャンバス/ブルー/ペーズリー/角スレ・汚れ有,,,,,SKIP: rank=hold target=True has_images=True,
hold,A VACATION,Rehello by BOOKOFF,ア ヴァケーション トートバッグ レディース A VACATION,8910,11445,1.2845,False,https://rehello.jp/products/rc_itt7smvutk4c_ztqx?variant=42065462296673,available,18000,20037,11,5,23450,2345,750,バッグ,False,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,brown,"black,brown,white",white-beige,black,"white-beige,black,red-pink",False,unknown,0,"vacation,トートバッグ,ヴァケーション,a,ア,レディース",False,medium,3,0.2727,2,0.1818,1,0.0909,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=white-beige,black,red-pink / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,,,,,,SKIP: rank=hold target=True has_images=False,
