brand,auto_discovered_brand,source_site,source_title,source_price,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,gross_profit,profit_rate,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hint_top3,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_band_top3,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,note,candidate_rank
WANDLER,False,Yahooショッピング,WANDLER ハンドバッグ/レザー/RED/無地,7260,https://store.shopping.yahoo.co.jp/ssol-shopping/2341825141157.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,34750,37420,12,5,34600,3460,750,23130,3.186,バッグ,True,,,False,True,False,True,red,red,,red,red,red-pink,,red-pink,brown,brown,beige,unknown,"brown,beige,unknown",brown,white-beige,unknown,"brown,white-beige,unknown",False,flashy,"wandler,レザー,ハンドバッグ",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,white-beige,unknown / 商品配色=red-pink / 人気色不一致で派手色主体",hold
WANDLER,False,Yahooショッピング,良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース 古着 中古,13075,https://store.shopping.yahoo.co.jp/kigaeru/343584001015.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,34750,37420,12,5,34900,3490,750,17585,1.3449,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,white,black,"brown,white,black",brown,white-beige,black,"brown,white-beige,black",True,strong,"wandler,ショルダーバッグ,レディース,ワンドラー,white,ホワイト",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,white-beige,black / 商品配色=white-beige / 売れ筋上位色と一致",honmei
WANDLER,False,楽天市場,中古 良品 WANDLER ワンドラー ホルテンシア ミディアム レザー ショルダーバッグ ボルドー レディース Luxs ブランド古着のリュクス,31450,https://item.rakuten.co.jp/luxs/342922002035/?variantId=342922002035&scid=seo-carousel-search,available,34750,37420,12,5,55000,5500,750,17300,0.5501,バッグ,True,,,True,True,False,True,ボルドー,red,,red,red,red-pink,,red-pink,brown,brown,beige,black,"brown,beige,black",brown,white-beige,black,"brown,white-beige,black",False,flashy,"wandler,ショルダーバッグ,レディース,ワンドラー,レザー",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,white-beige,black / 商品配色=red-pink / 人気色不一致で派手色主体",hold
WANDLER,False,Yahooショッピング,良品 WANDLER ワンドラー ホルテンシア ミディアム レザー ショルダーバッグ ボルドー レディース 古着 中古,31450,https://store.shopping.yahoo.co.jp/kigaeru/342922002035.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,34750,37420,12,5,55000,5500,750,17300,0.5501,バッグ,True,,,True,True,False,True,ボルドー,red,,red,red,red-pink,,red-pink,brown,brown,beige,black,"brown,beige,black",brown,white-beige,black,"brown,white-beige,black",False,flashy,"wandler,ショルダーバッグ,レディース,ワンドラー,レザー",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,white-beige,black / 商品配色=red-pink / 人気色不一致で派手色主体",hold
MAISON CANAU,False,楽天市場,中古 MAISON CANAUROUND BOSTON S ハンドバッグ ブラウン,40260,https://item.rakuten.co.jp/kind-u/8077000855291/?variantId=8077000855291&scid=seo-carousel-search,available,66930,63250,8,5,64370,6437,750,16923,0.4203,バッグ,True,,,True,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,black,black,brown,unknown,"black,brown,unknown",black,brown,unknown,"black,brown,unknown",True,strong,"boston,maison,ハンドバッグ,brown,ブラウン,s",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,brown,unknown / 商品配色=brown / 売れ筋上位色と一致",honmei
MAISON CANAU,False,Yahooショッピング,MAISON CANAU ROUND BOSTON S ハンドバッグ ブラウン (EC),40260,https://store.shopping.yahoo.co.jp/kindal/8077000855291.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,66930,63250,8,5,64370,6437,750,16923,0.4203,バッグ,True,,,True,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,black,black,brown,unknown,"black,brown,unknown",black,brown,unknown,"black,brown,unknown",True,strong,"boston,canau,maison,ハンドバッグ,brown,ブラウン,s",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,brown,unknown / 商品配色=brown / 売れ筋上位色と一致",honmei
WANDLER,False,楽天市場,中古 良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース Luxs ブランド古着のリュクス,13075,https://item.rakuten.co.jp/luxs/343584001015/?variantId=343584001015&scid=seo-carousel-search,available,34750,37420,12,5,32300,3230,750,15245,1.166,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,white,unknown,"brown,white,unknown",brown,white-beige,unknown,"brown,white-beige,unknown",True,strong,"wandler,ショルダーバッグ,レディース,ワンドラー,white,ホワイト",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,white-beige,unknown / 商品配色=white-beige / 売れ筋上位色と一致",honmei
WANDLER,False,Yahooショッピング,美品 ワンドラー ホルテンシア ミディアム レザー ピンク 2WAY ハンドバッグ ショルダーバッグ 1393 WANDLER,35000,https://store.shopping.yahoo.co.jp/life-time/7k1393z5m10.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,34750,37420,12,5,55000,5500,750,13750,0.3929,バッグ,True,,,True,True,False,True,ピンク,pink,,pink,pink,red-pink,,red-pink,brown,brown,beige,black,"brown,beige,black",brown,white-beige,black,"brown,white-beige,black",False,flashy,"wandler,2way,ショルダーバッグ,ワンドラー,レザー,ハンドバッグ,美品",False,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,white-beige,black / 商品配色=red-pink / 人気色不一致で派手色主体",hold
