candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hint_top3,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_band_top3,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
hold,WANDLER,Yahooショッピング,WANDLER ハンドバッグ/レザー/RED/無地,7260,23130,3.186,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2341825141157.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32500,35179,11,5,34600,3460,750,バッグ,True,,,False,True,False,True,red,red,,red,red,red-pink,,red-pink,brown,brown,beige,black,"brown,beige,black",brown,white-beige,black,"brown,white-beige,black",False,flashy,"wandler,レザー,ハンドバッグ",False,3,0.2727,2,0.1818,1,0.0909,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,white-beige,black / 商品配色=red-pink / 人気色不一致で派手色主体"
hold,WANDLER,楽天市場,中古 良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース Luxs ブランド古着のリュクス,12550,15950,1.2709,False,https://item.rakuten.co.jp/luxs/343584001015/?variantId=343584001015&scid=seo-carousel-search,available,32500,35179,11,5,32500,3250,750,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,white,"brown,black,white",brown,black,white-beige,"brown,black,white-beige",True,near,"wandler,ショルダーバッグ,レディース,ワンドラー,white,ホワイト",False,3,0.2727,2,0.1818,1,0.0909,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,white-beige / 商品配色=white-beige / 売れ筋上位色(top2/3)と一致"
hold,WANDLER,Yahooショッピング,良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース 古着 中古,12550,15950,1.2709,False,https://store.shopping.yahoo.co.jp/kigaeru/343584001015.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32500,35179,11,5,32500,3250,750,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,white,"brown,black,white",brown,black,white-beige,"brown,black,white-beige",True,near,"wandler,ショルダーバッグ,レディース,ワンドラー,white,ホワイト",False,3,0.2727,2,0.1818,1,0.0909,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=brown,black,white-beige / 商品配色=white-beige / 売れ筋上位色(top2/3)と一致"
hold,TOD'S,RAGTAG,TOD'S(トッズ)ハンドバッグ 紺 サイズ:-/2200633522032,9900,14550,1.4697,False,https://www.ragtag.jp/brand/45029/item/4502925N0012,available,27000,29780,5,3,28000,2800,750,バッグ,False,,,True,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,unknown,unknown,"brown,unknown,unknown",brown,unknown,unknown,"brown,unknown,unknown",False,unknown,"tod,トッズ,s,ハンドバッグ",True,1,0.2,1,0.2,1,0.2,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,TOD'S,Yahooショッピング,トッズ TOD'S トートバッグ レザー ベージュ /BM レディース,7300,13730,1.8808,False,https://store.shopping.yahoo.co.jp/vectorpremium/081-102510270434.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,27000,29780,5,4,24200,2420,750,バッグ,False,,,True,True,False,True,ベージュ,beige,,beige,beige,white-beige,,white-beige,blue,blue,brown,unknown,"blue,brown,unknown",blue-navy,brown,unknown,"blue-navy,brown,unknown",False,neutral,"tod,トッズ,レザー,s",True,1,0.2,1,0.2,1,0.2,"類似売り切れ4件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=blue-navy,brown,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色"
